,collectionId,collectionName,totalNFTs
2250556,1763,The Uncanny Country Club,5000
2255556,1767,Neo Samurai Monkeys,3600
2259156,1766,GENE_SIS: The Girls of Armament,10000
2269156,1764,AIMoonbirds,9936
2279092,1758,Tiger Land Zodiacs,599
2279691,1759,Popeye Metaverse Madness,2000
2281691,1762,PSILO,2222
2283913,1705,Hedgies,2677
2286590,1761,T-Rex Sapiens Order,5959
2289708,1761,T-RexSapiens Order,5959
2292549,1760,HODLER CHADS,10000
2302549,1756,MAD CROW,3334
2305883,1755,Curiosities,5000
2310883,1753,Milady Maker,10000
2320883,1752,Whoopsies Doopsies,6125
2327008,1751,Japanese Born Ape Society,4457
2331465,1750,Monkeypox,4000
2335465,1749,Elysium Metagods,1900
2337365,1748,Rich Fox Club OG,444
2337809,1747,Hell of a Party,3690
2341499,1746,goblintown.wtf,9999
2351498,1743,VARBARIAN,1040
2352538,1745,Karma Cats NFT,5555
2358093,1578,Zoofrenz Apefrenz 2.0,4535
2362628,1744,PLUR,8585
2371213,1736,Buakaw1,2000
2373213,1741,Mindblowon Universe,6969
2380182,1740,Chimpers,5555
2385737,1738,Poetry in Women,2222
2387959,1735,Mad Meerkat Degen,10000
2397959,1728,NFT Worlds Genesis Avatars,11885
2409844,1737,Wasted Whales: The Hangover,469
